"LOCATION","Country","STATISTICS","Reference Statistics","UNIT_MEASURE","Unit of measurement","TIME","Year","Value","Flag Codes","Flags"
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2008","2008",35301.383,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2009","2009",34531.512,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2010","2010",35389.809,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2011","2011",36970.543,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2012","2012",37816.434,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2013","2013",38209.438,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2014","2014",38992.125,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2015","2015",39894.371,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2016","2016",40917.148,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2017","2017",41996.453,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2018","2018",43594.352,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2019","2019",44738.203,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2020","2020",42732.883,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2021","2021",45372.035,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1995","1995",98558.406,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1996","1996",101537.26,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1997","1997",98649.891,,
